flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,43,,2026-06-15T07:00:00+00:00,2026-06-15T07:00:00+00:00,,,,Kalgoorlie,Australia/Perth,KGI,YPKG,,,,2026-06-15T08:05:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6786,SQ6786,SIA6786,virgin australia,va,voz,1851,va1851,voz1851,,,,7C7A4B,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,4,9,,2026-06-15T07:00:00+00:00,2026-06-15T07:00:00+00:00,,,,Newman,Australia/Perth,ZNE,YNWN,,,,2026-06-15T08:45:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7425,NZ7425,ANZ7425,qantas,qf,qfa,1704,qf1704,qfa1704,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-06-15T06:50:00+00:00,2026-06-15T06:50:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-15T10:30:00+00:00,75.0,,,,,Qantas,QF,QFA,5685,QF5685,QFA5685,jetstar,jq,jst,110,jq110,jst110,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-06-15T06:50:00+00:00,2026-06-15T06:50:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-15T10:30:00+00:00,75.0,,,,,KLM,KL,KLM,3536,KL3536,KLM3536,jetstar,jq,jst,110,jq110,jst110,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-06-15T06:50:00+00:00,2026-06-15T06:50:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-15T10:30:00+00:00,75.0,,,,,IndiGo,6E,IGO,3946,6E3946,IGO3946,jetstar,jq,jst,110,jq110,jst110,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,47A,,2026-06-15T06:45:00+00:00,2026-06-15T06:45:00+00:00,,,,Karratha,Australia/Perth,KTA,YPKA,,,,2026-06-15T08:45:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6738,SQ6738,SIA6738,virgin australia,va,voz,1723,va1723,voz1723,,,,7C7A3B,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,47A,,2026-06-15T06:45:00+00:00,2026-06-15T06:45:00+00:00,,,,Karratha,Australia/Perth,KTA,YPKA,,,,2026-06-15T08:45:00+00:00,,,,,,Qatar Airways,QR,QTR,7171,QR7171,QTR7171,virgin australia,va,voz,1723,va1723,voz1723,,,,7C7A3B,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,3,17A,,2026-06-15T06:45:00+00:00,2026-06-15T06:45:00+00:00,,,,Port Hedland,Australia/Perth,PHE,YPPD,,,,2026-06-15T08:55:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7294,NZ7294,ANZ7294,qantas,qf,qfa,1642,qf1642,qfa1642,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,3,19,,2026-06-15T06:45:00+00:00,2026-06-15T06:45:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-06-15T12:15:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7281,NZ7281,ANZ7281,qantas,qf,qfa,760,qf760,qfa760,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,3,19,,2026-06-15T06:45:00+00:00,2026-06-15T06:45:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-06-15T12:15:00+00:00,,,,,,Emirates,EK,UAE,5400,EK5400,UAE5400,qantas,qf,qfa,760,qf760,qfa760,,,,,,,,,,,,,,
2026-06-15,scheduled,,Perth International,Australia/Perth,PER,YPPH,3,17B,,2026-06-15T06:30:00+00:00,2026-06-15T06:30:00+00:00,,,,Paraburdoo,Australia/Perth,PBO,YPBO,,,,2026-06-15T08:20:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7826,NZ7826,ANZ7826,qantas,qf,qfa,6300,qf6300,qfa6300,,,,,,,,,,,,,,
2026-06-15,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-06-15T07:00:00+00:00,2026-06-15T07:00:00+00:00,,,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,1,,,2026-06-15T12:10:00+00:00,,,,,,All Nippon Airways,NH,ANA,5326,NH5326,ANA5326,philippine airlines,pr,pal,438,pr438,pal438,,,,,,,,,,,,,,
2026-06-15,scheduled,,Badu Island,Australia/Brisbane,BDD,YBAU,,,,2026-06-15T08:45:00+00:00,2026-06-15T08:45:00+00:00,,,,Kubin Island,Australia/Brisbane,KUG,YKUB,,,,2026-06-15T08:52:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C6C6E,,,,,,,,,,
2026-06-15,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A36,,2026-06-15T01:55:00+00:00,2026-06-15T01:55:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-15T16:00:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9656,GA9656,GIA9656,saudia,sv,sva,818,sv818,sva818,,,,71005A,,,,,,,,,,
2026-06-15,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A6A,,2026-06-15T01:30:00+00:00,2026-06-15T01:30:00+00:00,,,,Mohammad Bin Abdulaziz,Asia/Riyadh,MED,OEMA,,,,2026-06-15T02:30:00+00:00,,,,,,Malaysia Airlines,MH,MAS,4786,MH4786,MAS4786,saudia,sv,sva,1420,sv1420,sva1420,,,,717C85,,,,,,,,,,
2026-06-15,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-06-15T02:55:00+00:00,2026-06-15T02:55:00+00:00,,,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,1,,,2026-06-15T08:35:00+00:00,,,,,,Qantas,QF,QFA,8255,QF8255,QFA8255,emirates,ek,uae,255,ek255,uae255,,,,,,,,,,,,,,
2026-06-15,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-06-15T02:55:00+00:00,2026-06-15T02:55:00+00:00,,,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,1,,,2026-06-15T08:35:00+00:00,,,,,,avianca,AV,AVA,6255,AV6255,AVA6255,emirates,ek,uae,255,ek255,uae255,,,,,,,,,,,,,,
2026-06-15,scheduled,,,,DWC,OMDW,,,,2026-06-15T01:35:00+00:00,2026-06-15T01:35:00+00:00,,,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,,2026-06-15T12:40:00+00:00,,,,,,Compass Air Cargo,HQ,ADZ,9780,HQ9780,ADZ9780,,,,,,,,,,452180,,,,,,,,,,
2026-06-15,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,,,,2026-06-15T02:45:00+00:00,2026-06-15T02:45:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-15T07:05:00+00:00,,,,,,Turkish Airlines,TK,THY,6105,TK6105,THY6105,,,,,,,,,,4BA892,,,,,,,,,,
2026-06-15,scheduled,,Damascus International Airport,Asia/Damascus,DAM,OSDI,,,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,,,,2026-06-15T03:20:00+00:00,,,,,,Fly Cham,,FYC,,,FYC,,,,,,,,,,778823,,,,,,,,,,
2026-06-15,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-06-15T06:55:00+00:00,2026-06-15T06:55:00+00:00,,,,Hohhot,Asia/Shanghai,HET,ZBHH,,,,2026-06-15T09:20:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,3831,ZH3831,CSZ3831,china express airlines,g5,hxa,2745,g52745,hxa2745,,,,781DA2,,,,,,,,,,
2026-06-15,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-06-15T06:50:00+00:00,2026-06-15T06:50:00+00:00,,,,Changzhou,Asia/Shanghai,CZX,ZSCG,,,,2026-06-15T08:55:00+00:00,,,,,,Xiamen Air,MF,CXA,4865,MF4865,CXA4865,sichuan airlines,3u,csc,8097,3u8097,csc8097,,,,7811AE,,,,,,,,,,
2026-06-15,scheduled,,Bacau,Europe/Bucharest,BCM,LRBC,,,,2026-06-15T01:20:00+00:00,2026-06-15T01:20:00+00:00,,,,Luton Airport,Europe/London,LTN,EGGW,,,,2026-06-15T02:45:00+00:00,10.0,,,,,Wizz Air,W6,WZZ,3905,W63905,WZZ3905,,,,,,,,,,407B8B,,,,,,,,,,
2026-06-15,scheduled,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,14,,2026-06-15T03:00:00+00:00,2026-06-15T03:00:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,,03,2026-06-15T05:50:00+00:00,15.0,,,,,Qantas,QF,QFA,5262,QF5262,QFA5262,indigo,6e,igo,804,6e804,igo804,,,,801793,,,,,,,,,,
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-15T03:15:00+00:00,2026-06-15T03:15:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-06-15T07:10:00+00:00,,,,,,Thai Airways,TG,THA,6456,TG6456,THA6456,shenzhen airlines,zh,csz,306,zh306,csz306,,,,,,,,,,,,,,
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-15T03:15:00+00:00,2026-06-15T03:15:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-06-15T07:10:00+00:00,,,,,,Air China,CA,CCA,7980,CA7980,CCA7980,shenzhen airlines,zh,csz,306,zh306,csz306,,,,,,,,,,,,,,
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,D8,,2026-06-15T03:15:00+00:00,2026-06-15T03:15:00+00:00,,,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,C31,4,2026-06-15T06:45:00+00:00,15.0,,,,,Air Europa,UX,AEA,2723,UX2723,AEA2723,etihad airways,ey,etd,401,ey401,etd401,,,,8966BE,,,,,,,,,,
