flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-16,scheduled,,,,,WGN,ZGSY,,,,2026-06-16T09:05:00+00:00,2026-06-16T09:05:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-16T10:55:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,9437,ZH9437,CSZ9437,,,,,,,,,,,,,,,,,,,
2026-06-16,scheduled,,,,,WGN,ZGSY,,,,2026-06-16T09:05:00+00:00,2026-06-16T09:05:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-16T10:55:00+00:00,,,,,,Shandong Airlines,SC,CDG,9837,SC9837,CDG9837,,shenzhen airlines,zh,csz,9437,zh9437,csz9437,,,,,,,,,,,,
2026-06-16,scheduled,,,Doomadgee,Australia/Brisbane,DMD,YDMG,,,,2026-06-16T10:35:00+00:00,2026-06-16T10:35:00+00:00,,,,Mornington,Australia/Brisbane,ONG,YMTI,,,,2026-06-16T11:15:00+00:00,,,,,,Rex,ZL,RXA,5474,ZL5474,RXA5474,,,,,,,,,,,7C810D,,,,,,,,
2026-06-16,scheduled,,,Alama Iqbal International,Asia/Karachi,LHE,OPLA,,,,2026-06-16T04:15:00+00:00,2026-06-16T04:15:00+00:00,,,,Sharjah,Asia/Dubai,SHJ,OMSJ,,,,2026-06-16T06:30:00+00:00,,,,,,Fly Jinnah,9P,FJL,502,9P502,FJL502,,,,,,,,AP-BOO,A320,A320,7609EF,2026-06-15T19:24:01+00:00,29.101,71.1818,10363.2,227.0,833.4,0.0,False
2026-06-16,scheduled,,,Lord Howe Island,Australia/Lord_Howe,LDH,YLHI,,,,2026-06-16T11:40:00+00:00,2026-06-16T11:40:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,AG7,,2026-06-16T12:55:00+00:00,,,,,,Skytrans Australia,QN,SKP,14,QN14,SKP14,,,,,,,,,,,7C6276,,,,,,,,
2026-06-16,scheduled,,,Lord Howe Island,Australia/Lord_Howe,LDH,YLHI,,,,2026-06-16T11:40:00+00:00,2026-06-16T11:40:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,AG7,,2026-06-16T12:55:00+00:00,,,,,,Flexflight,W2,FXT,504,W2504,FXT504,,skytrans australia,qn,skp,14,qn14,skp14,,,,7C6276,,,,,,,,
2026-06-16,scheduled,,,Lord Howe Island,Australia/Lord_Howe,LDH,YLHI,,,,2026-06-16T11:40:00+00:00,2026-06-16T11:40:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,2,AG7,,2026-06-16T12:55:00+00:00,,,,,,Qantas,QF,QFA,4991,QF4991,QFA4991,,skytrans australia,qn,skp,14,qn14,skp14,,,,7C6276,,,,,,,,
2026-06-16,scheduled,,,Kwajalein,Pacific/Kwajalein,KWA,PKWA,,1,,2026-06-16T12:40:00+00:00,2026-06-16T12:40:00+00:00,,,,Kosrae,Pacific/Kosrae,KSA,PTSA,,1,,2026-06-16T12:55:00+00:00,8.0,,,,,United Airlines,UA,UAL,154,UA154,UAL154,,,,,,,,,,,A126CC,,,,,,,,
2026-06-16,scheduled,,,Münster Osnabrück International,Europe/Berlin,FMO,EDDG,,,,2026-06-16T03:40:00+00:00,2026-06-16T03:40:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,2,,,2026-06-16T08:15:00+00:00,12.0,,,,,SunExpress,XQ,SXS,257,XQ257,SXS257,,,,,,,,,,,4BCD83,,,,,,,,
2026-06-16,scheduled,,,Zvartnots International,Asia/Yerevan,EVN,UDYZ,,1,,2026-06-16T06:00:00+00:00,2026-06-16T06:00:00+00:00,,,,Koltsovo International,Asia/Yekaterinburg,SVX,USSS,,,,2026-06-16T10:20:00+00:00,,,,,,FlyOne Armenia,3F,FIE,477,3F477,FIE477,,,,,,,,,,,,,,,,,,,
2026-06-16,scheduled,,,Zvartnots International,Asia/Yerevan,EVN,UDYZ,,69,,2026-06-16T06:00:00+00:00,2026-06-16T06:00:00+00:00,,,,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,,,,2026-06-16T07:30:00+00:00,10.0,,,,,Pegasus,PC,PGT,551,PC551,PGT551,,,,,,,,,,,4B8750,,,,,,,,
2026-06-16,scheduled,,,Zvartnots International,Asia/Yerevan,EVN,UDYZ,,,,2026-06-16T06:00:00+00:00,2026-06-16T06:00:00+00:00,,,,Mineralnye Vodyj,Europe/Moscow,MRV,URMM,,,,2026-06-16T06:10:00+00:00,,,,,,Armenian Airlines,JI,AAG,128,JI128,AAG128,,,,,,,,,,,,,,,,,,,
2026-06-16,scheduled,,,Zvartnots International,Asia/Yerevan,EVN,UDYZ,,45,,2026-06-16T05:30:00+00:00,2026-06-16T05:30:00+00:00,,,,Larnaca,Asia/Nicosia,LCA,LCLK,,,,2026-06-16T06:55:00+00:00,10.0,,,,,Wizz Air,W6,WZZ,7837,W67837,WZZ7837,,,,,,,,,,,4D241C,,,,,,,,
2026-06-16,scheduled,,,Elazig,Europe/Istanbul,EZS,LTCA,,,,2026-06-16T04:50:00+00:00,2026-06-16T04:50:00+00:00,,,,Esenboga International,Europe/Istanbul,ESB,LTAC,,,,2026-06-16T06:10:00+00:00,,,,,,AJet,VF,TKJ,4171,VF4171,TKJ4171,,,,,,,,,,,,,,,,,,,
2026-06-16,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,,,2026-06-16T09:50:00+00:00,2026-06-16T09:50:00+00:00,,,,Emerald,Australia/Brisbane,EMD,YEML,,,,2026-06-16T11:35:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7206,NZ7206,ANZ7206,,qantas,qf,qfa,2404,qf2404,qfa2404,,,,,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,1-3,,2026-06-16T09:55:00+00:00,2026-06-16T09:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,8,2026-06-16T12:05:00+00:00,,,,,,Loong Air,GJ,CDC,8061,GJ8061,CDC8061,,,,,,,,,,,,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,1-3,,2026-06-16T09:55:00+00:00,2026-06-16T09:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,8,2026-06-16T12:05:00+00:00,,,,,,China Express Airlines,G5,HXA,8589,G58589,HXA8589,,loong air,gj,cdc,8061,gj8061,cdc8061,,,,,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,1-3,,2026-06-16T09:55:00+00:00,2026-06-16T09:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,8,2026-06-16T12:05:00+00:00,,,,,,Chengdu Airlines,EU,UEA,9253,EU9253,UEA9253,,loong air,gj,cdc,8061,gj8061,cdc8061,,,,,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,1-3,,2026-06-16T09:55:00+00:00,2026-06-16T09:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,8,2026-06-16T12:05:00+00:00,,,,,,Tibet Airlines,TV,TBA,2553,TV2553,TBA2553,,loong air,gj,cdc,8061,gj8061,cdc8061,,,,,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-06-16T09:40:00+00:00,2026-06-16T09:40:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-16T11:50:00+00:00,156.0,,,,,Loong Air,GJ,CDC,8683,GJ8683,CDC8683,,,,,,,,,,,780FE4,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-06-16T09:40:00+00:00,2026-06-16T09:40:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-16T11:50:00+00:00,156.0,,,,,Xiamen Air,MF,CXA,5292,MF5292,CXA5292,,loong air,gj,cdc,8683,gj8683,cdc8683,,,,780FE4,,,,,,,,
2026-06-16,scheduled,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-06-16T09:40:00+00:00,2026-06-16T09:40:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-16T11:50:00+00:00,156.0,,,,,Hainan Airlines,HU,CHH,2141,HU2141,CHH2141,,loong air,gj,cdc,8683,gj8683,cdc8683,,,,780FE4,,,,,,,,
