flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-20,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,,2026-06-20T11:55:00+00:00,,,,,,Xiamen Air,MF,CXA,7823,MF7823,CXA7823,china eastern airlines,mu,ces,9188,mu9188,ces9188,,,,,,,,,,,,,
2026-06-20,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,59,,2026-06-20T09:20:00+00:00,2026-06-20T09:20:00+00:00,2026-06-20T09:18:00+00:00,2026-06-20T09:18:00+00:00,2026-06-20T09:18:00+00:00,Aba Hongyuan Airport,,AHJ,ZUHY,,,,2026-06-20T10:25:00+00:00,,2026-06-20T10:01:00+00:00,,,,Shenzhen Airlines,ZH,CSZ,4031,ZH4031,CSZ4031,air china,ca,cca,2535,ca2535,cca2535,,,,78027A,,,,,,,,,
2026-06-20,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,214,,2026-06-20T09:10:00+00:00,2026-06-20T09:10:00+00:00,2026-06-20T09:13:00+00:00,2026-06-20T09:13:00+00:00,2026-06-20T09:13:00+00:00,Jinzhou,Asia/Shanghai,JNZ,ZYJZ,,,,2026-06-20T12:25:00+00:00,3.0,2026-06-20T11:56:00+00:00,,,,China Eastern Airlines,MU,CES,8067,MU8067,CES8067,china united airlines,kn,cua,5137,kn5137,cua5137,,,,781237,,,,,,,,,
2026-06-20,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,212,,2026-06-20T09:00:00+00:00,2026-06-20T09:00:00+00:00,2026-06-20T09:16:00+00:00,2026-06-20T09:16:00+00:00,2026-06-20T09:16:00+00:00,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-06-20T11:45:00+00:00,17.0,2026-06-20T11:20:00+00:00,,,,China Eastern Airlines,MU,CES,8072,MU8072,CES8072,china united airlines,kn,cua,5160,kn5160,cua5160,,,,780C86,,,,,,,,,
2026-06-20,scheduled,,,Shashi,Asia/Shanghai,SHS,ZHJZ,,2,,2026-06-20T12:40:00+00:00,2026-06-20T12:40:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-06-20T15:00:00+00:00,,,,,,Chengdu Airlines,EU,UEA,9129,EU9129,UEA9129,loong air,gj,cdc,8631,gj8631,cdc8631,,,,7815FE,,,,,,,,,
2026-06-20,active,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-06-20T07:25:00+00:00,2026-06-20T07:25:00+00:00,,,,Uralsk / Podstepnyy,Asia/Oral,URA,UARR,,,,2026-06-20T08:50:00+00:00,,,,,,FlyArystan,FS,AYN,7365,FS7365,AYN7365,,,,,,,,,,4CAC07,,,,,,,,,
2026-06-20,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,,,,2026-06-20T15:15:00+00:00,2026-06-20T15:15:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-20T16:50:00+00:00,,,,,,Shandong Airlines,SC,CDG,9048,SC9048,CDG9048,shenzhen airlines,zh,csz,8442,zh8442,csz8442,,,,,,,,,,,,,
2026-06-20,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,,,,2026-06-20T15:15:00+00:00,2026-06-20T15:15:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-20T16:50:00+00:00,,,,,,Air China,CA,CCA,3832,CA3832,CCA3832,shenzhen airlines,zh,csz,8442,zh8442,csz8442,,,,,,,,,,,,,
2026-06-20,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C52,,2026-06-20T15:15:00+00:00,2026-06-20T15:15:00+00:00,,,,Changchun,Asia/Shanghai,CGQ,ZYCC,2,,2,2026-06-20T18:15:00+00:00,,,,,,Xiamen Air,MF,CXA,7740,MF7740,CXA7740,china eastern airlines,mu,ces,6683,mu6683,ces6683,,,,7804B8,,,,,,,,,
2026-06-20,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-20T13:50:00+00:00,2026-06-20T13:50:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-20T15:40:00+00:00,,,,,,Loong Air,GJ,CDC,3311,GJ3311,CDC3311,sichuan airlines,3u,csc,6343,3u6343,csc6343,,,,78107B,,,,,,,,,
