flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,110,,2026-06-29T01:30:00+00:00,2026-06-29T01:30:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-06-29T05:25:00+00:00,,,,,,Japan Airlines,JL,JAL,79,JL79,JAL79,,,,,86DCC4,,,,,,,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A5,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-29T06:10:00+00:00,,,,,,South African Airways,SA,SAA,7231,SA7231,SAA7231,,,,,76CD42,singapore airlines,sq,sia,478,sq478,sia478,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A5,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-29T06:10:00+00:00,,,,,,Asiana Airlines,OZ,AAR,6792,OZ6792,AAR6792,,,,,76CD42,singapore airlines,sq,sia,478,sq478,sia478,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A5,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-29T06:10:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3278,NZ3278,ANZ3278,,,,,76CD42,singapore airlines,sq,sia,478,sq478,sia478,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A5,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-29T06:10:00+00:00,,,,,,All Nippon Airways,NH,ANA,6274,NH6274,ANA6274,,,,,76CD42,singapore airlines,sq,sia,478,sq478,sia478,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A5,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-29T06:10:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5764,MH5764,MAS5764,,,,,76CD42,singapore airlines,sq,sia,478,sq478,sia478,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D35,,2026-06-29T01:15:00+00:00,2026-06-29T01:15:00+00:00,,,,Jinan,Asia/Shanghai,TNA,ZSJN,,,,2026-06-29T07:10:00+00:00,30.0,,,,,Air China,CA,CCA,8864,CA8864,CCA8864,,,,,,shandong airlines,sc,cdg,8062,sc8062,cdg8062,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A1,,2026-06-29T01:10:00+00:00,2026-06-29T01:10:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,36,2026-06-29T07:15:00+00:00,,,,,,Virgin Australia,VA,VOZ,5780,VA5780,VOZ5780,,,,,,singapore airlines,sq,sia,800,sq800,sia800,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A1,,2026-06-29T01:10:00+00:00,2026-06-29T01:10:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,36,2026-06-29T07:15:00+00:00,,,,,,Air China,CA,CCA,5286,CA5286,CCA5286,,,,,,singapore airlines,sq,sia,800,sq800,sia800,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-29T01:05:00+00:00,2026-06-29T01:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2026-06-29T08:00:00+00:00,,,,,,TAP Air Portugal,TP,TAP,8400,TP8400,TAP8400,,,,,76CEF6,singapore airlines,sq,sia,306,sq306,sia306,,,,,,,,,
