flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-12,scheduled,,Ostend/Bruges International Airport,Europe/Brussels,OST,EBOS,,,,2026-08-12T06:25:00+00:00,2026-08-12T06:25:00+00:00,,,,Alicante El Altet,Europe/Madrid,ALC,LEAL,N,,6A,2026-08-12T09:15:00+00:00,12.0,,,,,TUI fly,TB,JAF,1171,TB1171,JAF1171,,,,,44D1B3,,,,,,,
2026-08-12,scheduled,,Ostend/Bruges International Airport,Europe/Brussels,OST,EBOS,,,,2026-08-12T06:00:00+00:00,2026-08-12T06:00:00+00:00,,,,Pablo Ruiz Picasso,Europe/Madrid,AGP,LEMG,PAX,,37,2026-08-12T09:10:00+00:00,12.0,,,,,TUI fly,TB,JAF,1071,TB1071,JAF1071,,,,,44D1A7,,,,,,,
2026-08-12,scheduled,,Mornington,Australia/Brisbane,ONG,YMTI,,,,2026-08-12T15:30:00+00:00,2026-08-12T15:30:00+00:00,,,,Townsville International,Australia/Brisbane,TSV,YBTL,,,,2026-08-12T17:03:00+00:00,,,,,,empty,,,,,,,,,,7C19BE,,,,,,,
2026-08-12,active,,Junmachi,Asia/Tokyo,GAJ,RJSC,,3,6.0,2026-08-12T08:45:00+00:00,2026-08-12T08:45:00+00:00,2026-08-12T09:02:00+00:00,2026-08-12T09:02:00+00:00,2026-08-12T09:02:00+00:00,Itami,Asia/Tokyo,ITM,RJOO,,,,2026-08-12T10:00:00+00:00,18.0,2026-08-12T10:06:00+00:00,,,,Japan Airlines,JL,JAL,2234,JL2234,JAL2234,,,,,84C5CA,,,,,,,
2026-08-12,scheduled,,East Midlands,Europe/London,EMA,EGNX,,,,2026-08-12T05:30:00+00:00,2026-08-12T05:30:00+00:00,,,,Edinburgh,Europe/London,EDI,EGPH,,,,2026-08-12T06:36:00+00:00,,,,,,Maersk Air Cargo UK,,MUK,6566,,MUK6566,,,,,,,,,,,,
2026-08-12,scheduled,,,,DWC,OMDW,,,,2026-08-12T10:00:00+00:00,2026-08-12T10:00:00+00:00,,,,Mahon,Europe/Madrid,MAH,LEMH,,,,2026-08-12T14:55:00+00:00,,,,,,VistaJet,,VJT,972,,VJT972,,,,,4D2139,,,,,,,
2026-08-12,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-08-12T08:20:00+00:00,2026-08-12T08:20:00+00:00,,,,Francisco Bangoy International,Asia/Manila,DVO,RPMD,,,,2026-08-12T10:10:00+00:00,,,,,,Philippine Airlines,2P,GAP,2813,2P2813,GAP2813,,,,,758201,,,,,,,
2026-08-12,active,,Francisco Bangoy International,Asia/Manila,DVO,RPMD,,,,2026-08-12T08:10:00+00:00,2026-08-12T08:10:00+00:00,2026-08-12T08:28:00+00:00,2026-08-12T08:28:00+00:00,2026-08-12T08:28:00+00:00,Zamboanga International,Asia/Manila,ZAM,RPMZ,,,,2026-08-12T09:45:00+00:00,19.0,2026-08-12T09:38:00+00:00,,,,Cebu Pacific,DG,SRQ,6673,DG6673,SRQ6673,,,,,758511,,,,,,,
2026-08-12,active,,Francisco Bangoy International,Asia/Manila,DVO,RPMD,,,6.0,2026-08-12T08:00:00+00:00,2026-08-12T08:00:00+00:00,2026-08-12T08:19:00+00:00,2026-08-12T08:19:00+00:00,2026-08-12T08:19:00+00:00,Sayak Airport,Asia/Manila,IAO,RPNS,,,,2026-08-12T09:10:00+00:00,19.0,2026-08-12T09:16:00+00:00,,,,Cebu Pacific,DG,SRQ,6872,DG6872,SRQ6872,,,,,758512,,,,,,,
2026-08-12,scheduled,,Düsseldorf International Airport,Europe/Berlin,DUS,EDDL,,174-,,2026-08-12T09:00:00+00:00,2026-08-12T09:00:00+00:00,,,,Fuerteventura,Atlantic/Canary,FUE,GCFV,,,10,2026-08-12T12:30:00+00:00,,,,,,Corendon Airlines,XC,CAI,505,XC505,CAI505,,,,,4D239B,,,,,,,
