flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T03:25:00+00:00,,,,,,Qantas,QF,QFA,7330,QF7330,QFA7330,,,,,,,,,,,
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T00:50:00+00:00,2026-08-25T00:50:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T04:10:00+00:00,,,,,,Qantas,QF,QFA,7305,QF7305,QFA7305,,,,,,,,,,,
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T00:30:00+00:00,2026-08-25T00:30:00+00:00,,2026-08-25T00:30:00+00:00,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T02:35:00+00:00,,,,,,Team Global Express,,TFX,42,,TFX42,,,,,C82AFF,,,,,,
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T00:20:00+00:00,2026-08-25T00:20:00+00:00,,,,Perth International,Australia/Perth,PER,YPPH,,,,2026-08-25T03:45:00+00:00,,,,,,Qantas,QF,QFA,7396,QF7396,QFA7396,,,,,,,,,,,
2026-08-25,scheduled,,,Vladivostok,Asia/Vladivostok,VVO,UHWW,MAIN,1-10,,2026-08-25T01:05:00+00:00,2026-08-25T01:05:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-08-25T01:50:00+00:00,,,,,,S7 Airlines,S7,SBI,6241,S76241,SBI6241,,,,,,,,,,,
2026-08-25,scheduled,,,Vladivostok,Asia/Vladivostok,VVO,UHWW,,,,2026-08-25T00:15:00+00:00,2026-08-25T00:15:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-08-25T00:55:00+00:00,,,,,,Aeroflot,SU,AFL,5468,SU5468,AFL5468,,,,,,,,,,,
2026-08-25,scheduled,,,Dubbo,Australia/Sydney,DBO,YSDU,,,,2026-08-25T16:30:00+00:00,2026-08-25T16:30:00+00:00,,2026-08-24T16:30:00+00:00,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-08-24T17:06:00+00:00,,,,,,empty,,,,,,,,,,7C01B3,,,,,,
2026-08-25,scheduled,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-08-25T01:05:00+00:00,2026-08-25T01:05:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T01:35:00+00:00,,,,,,Qantas,QF,QFA,7420,QF7420,QFA7420,,,,,,,,,,,
2026-08-25,scheduled,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-08-25T00:45:00+00:00,2026-08-25T00:45:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T02:20:00+00:00,,,,,,Qantas,QF,QFA,7488,QF7488,QFA7488,,,,,,,,,,,
2026-08-25,scheduled,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T02:00:00+00:00,,,,,,Qantas,QF,QFA,7445,QF7445,QFA7445,,,,,,,,,,,
2026-08-25,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,2026-08-25T01:00:00+00:00,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-08-25T03:00:00+00:00,,,,,,Texel Air,,TFX,23,,TFX23,,,,,C842C7,,,,,,
2026-08-25,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,14,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,,,2026-08-25T09:15:00+00:00,,,,,,Air India,AI,AIC,309,AI309,AIC309,,,,,80159E,,,,,,
