flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,3,0.0,2026-09-21T13:05:00+00:00,2026-09-21T13:05:00+00:00,,2026-09-21T13:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,33,DT2,2026-09-21T14:55:00+00:00,,,,,,Air New Zealand,NZ,ANZ,620,NZ620,ANZ620,,,,,C8210D,,,,,,,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,3,0.0,2026-09-21T13:05:00+00:00,2026-09-21T13:05:00+00:00,,2026-09-21T13:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,33,DT2,2026-09-21T14:55:00+00:00,,,,,,Qantas,QF,QFA,8454,QF8454,QFA8454,,,,,C8210D,air new zealand,nz,anz,620,nz620,anz620,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,3,0.0,2026-09-21T13:05:00+00:00,2026-09-21T13:05:00+00:00,,2026-09-21T13:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,33,DT2,2026-09-21T14:55:00+00:00,,,,,,Etihad Airways,EY,ETD,4572,EY4572,ETD4572,,,,,C8210D,air new zealand,nz,anz,620,nz620,anz620,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,3,0.0,2026-09-21T13:05:00+00:00,2026-09-21T13:05:00+00:00,,2026-09-21T13:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,33,DT2,2026-09-21T14:55:00+00:00,,,,,,Air China,CA,CCA,5994,CA5994,CCA5994,,,,,C8210D,air new zealand,nz,anz,620,nz620,anz620,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,3,0.0,2026-09-21T13:05:00+00:00,2026-09-21T13:05:00+00:00,,2026-09-21T13:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,33,DT2,2026-09-21T14:55:00+00:00,,,,,,EVA Air,BR,EVA,3342,BR3342,EVA3342,,,,,C8210D,air new zealand,nz,anz,620,nz620,anz620,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,,0.0,2026-09-21T13:00:00+00:00,2026-09-21T13:00:00+00:00,,2026-09-21T13:00:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,21,1,2026-09-21T14:50:00+00:00,,,,,,Jetstar,JQ,JST,296,JQ296,JST296,,,,,,,,,,,,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,,0.0,2026-09-21T13:00:00+00:00,2026-09-21T13:00:00+00:00,,2026-09-21T13:00:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,21,1,2026-09-21T14:50:00+00:00,,,,,,Qantas,QF,QFA,5820,QF5820,QFA5820,,,,,,jetstar,jq,jst,296,jq296,jst296,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,,0.0,2026-09-21T13:00:00+00:00,2026-09-21T13:00:00+00:00,,2026-09-21T13:00:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,21,1,2026-09-21T14:50:00+00:00,,,,,,Emirates,EK,UAE,7481,EK7481,UAE7481,,,,,,jetstar,jq,jst,296,jq296,jst296,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,,0.0,2026-09-21T12:40:00+00:00,2026-09-21T12:40:00+00:00,,2026-09-21T12:40:00+00:00,,Gold Coast (coolangatta),Australia/Brisbane,OOL,YBCG,2,INTL,6,2026-09-21T14:15:00+00:00,,,,,,Jetstar,JQ,JST,192,JQ192,JST192,,,,,7C045C,,,,,,,
2026-09-21,scheduled,,Queenstown,Pacific/Auckland,ZQN,NZQN,,,0.0,2026-09-21T12:40:00+00:00,2026-09-21T12:40:00+00:00,,2026-09-21T12:40:00+00:00,,Gold Coast (coolangatta),Australia/Brisbane,OOL,YBCG,2,INTL,6,2026-09-21T14:15:00+00:00,,,,,,Qantas,QF,QFA,5533,QF5533,QFA5533,,,,,7C045C,jetstar,jq,jst,192,jq192,jst192,
