flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,B33,0.0,2026-09-22T11:10:00+00:00,2026-09-22T11:10:00+00:00,,2026-09-22T11:10:00+00:00,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,,2026-09-22T13:05:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1028,3U1028,CSC1028,china southern airlines,cz,csn,3118,cz3118,csn3118,,,,7802E3,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,KLM,KL,KLM,3759,KL3759,KLM3759,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,Hebei Airlines,NS,HBH,8118,NS8118,HBH8118,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,4723,MU4723,CES4723,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,Juneyao Air,HO,DKH,7035,HO7035,DKH7035,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,China Express Airlines,G5,HXA,9222,G59222,HXA9222,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4073,CZ4073,CSN4073,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D70,0.0,2026-09-22T11:05:00+00:00,2026-09-22T11:05:00+00:00,,2026-09-22T11:05:00+00:00,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8L,,2026-09-22T13:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2280,3U2280,CSC2280,xiamen air,mf,cxa,8118,mf8118,cxa8118,,,,7817FE,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,C54,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-09-22T13:00:00+00:00,,,,,,Etihad Airways,EY,ETD,5827,EY5827,ETD5827,china eastern airlines,mu,ces,5132,mu5132,ces5132,,,,780FF7,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,C54,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-09-22T13:00:00+00:00,,,,,,Xiamen Air,MF,CXA,3586,MF3586,CXA3586,china eastern airlines,mu,ces,5132,mu5132,ces5132,,,,780FF7,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,C54,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-09-22T13:00:00+00:00,,,,,,China United Airlines,KN,CUA,6130,KN6130,CUA6130,china eastern airlines,mu,ces,5132,mu5132,ces5132,,,,780FF7,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,C54,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-09-22T13:00:00+00:00,,,,,,China Southern Airlines,CZ,CSN,1944,CZ1944,CSN1944,china eastern airlines,mu,ces,5132,mu5132,ces5132,,,,780FF7,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,D66,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Harbin,Asia/Shanghai,HRB,ZYHB,T2,,2,2026-09-22T13:15:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1524,3U1524,CSC1524,china southern airlines,cz,csn,5968,cz5968,csn5968,,,,780FC5,,
