flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,5019,ZH5019,CSZ5019,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,China Eastern Airlines,MU,CES,3668,MU3668,CES3668,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,Xiamen Air,MF,CXA,5658,MF5658,CXA5658,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,China Southern Airlines,CZ,CSN,11,CZ11,CSN11,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,Air China,CA,CCA,3214,CA3214,CCA3214,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,C60,,2026-09-25T07:35:00+00:00,2026-09-25T07:35:00+00:00,,,,"Yingkou Lanqi Airport
",,YKH,ZYYK,,,,2026-09-25T09:45:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4459,3U4459,CSC4459,juneyao air,ho,dkh,1051,ho1051,dkh1051,,,,781A96,,
2026-09-25,scheduled,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-25T06:25:00+00:00,2026-09-25T06:25:00+00:00,,,,Atyrau International,Asia/Aqtau,GUW,UATG,,,,2026-09-25T08:55:00+00:00,,,,,,FlyArystan,FS,AYN,7208,FS7208,AYN7208,,,,,,,,,,,,
2026-09-25,scheduled,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-25T06:15:00+00:00,2026-09-25T06:15:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,1,,,2026-09-25T08:00:00+00:00,,,,,,FlyArystan,FS,AYN,7054,FS7054,AYN7054,,,,,,,,,,,,
2026-09-25,scheduled,,Xiangshan,Asia/Shanghai,ZHY,ZLZW,,,,2026-09-25T09:30:00+00:00,2026-09-25T09:30:00+00:00,,,,Kashi,Asia/Shanghai,KHG,ZWSH,T2,,,2026-09-25T13:20:00+00:00,,,,,,West Air,PN,CHB,6519,PN6519,CHB6519,,,,,,,,,,,,
2026-09-25,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,11.0,2026-09-25T02:45:00+00:00,2026-09-25T02:45:00+00:00,,2026-09-25T02:56:00+00:00,,Zakinthos International Airport,Europe/Athens,ZTH,LGZA,,,,2026-09-25T05:59:00+00:00,,,,,,Ryanair,RR,RYS,,RR,RYS,,,,,,,,,,48C1A9,,
2026-09-25,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-09-25T02:10:00+00:00,2026-09-25T02:10:00+00:00,,,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,,,,2026-09-25T05:41:00+00:00,,,,,,Enter Air,E4,ENT,4991,E44991,ENT4991,,,,,,,,,,4892C2,,
2026-09-25,scheduled,,Sphinx International Airport,,SPX,HESX,,,,2026-09-25T01:00:00+00:00,2026-09-25T01:00:00+00:00,,,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,,,2026-09-25T05:35:00+00:00,,,,,,Air Arabia Abu Dhabi,3L,ADY,384,3L384,ADY384,,,,,,,,,,,,
2026-09-25,scheduled,,Auckland International,Pacific/Auckland,AKL,NZAA,D,40,0.0,2026-09-25T12:05:00+00:00,2026-09-25T12:05:00+00:00,,2026-09-25T12:05:00+00:00,,Woodbourne Air Station,Pacific/Auckland,BHE,NZWB,,,,2026-09-25T13:35:00+00:00,,,,,,Air China,CA,CCA,5933,CA5933,CCA5933,air new zealand,nz,anz,5509,nz5509,anz5509,,,,C819E0,,
2026-09-25,scheduled,,Boulia,Australia/Brisbane,BQL,YBOU,,,0.0,2026-09-25T09:05:00+00:00,2026-09-25T09:05:00+00:00,,2026-09-25T09:05:00+00:00,,Bedourie,Australia/Brisbane,BEU,YBIE,,,,2026-09-25T09:45:00+00:00,,,,,,Rex,ZL,RXA,5661,ZL5661,RXA5661,,,,,,,,,,7C8025,,
2026-09-25,scheduled,,Akita,Asia/Tokyo,AXT,RJSK,,I5,0.0,2026-09-25T11:05:00+00:00,2026-09-25T11:05:00+00:00,,2026-09-25T11:05:00+00:00,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,1,,,2026-09-25T12:30:00+00:00,,,,,,Oriental Air Bridge,OC,ORC,86,OC86,ORC86,,,,,,,,,,,,
2026-09-25,scheduled,,Akita,Asia/Tokyo,AXT,RJSK,,I5,0.0,2026-09-25T11:05:00+00:00,2026-09-25T11:05:00+00:00,,2026-09-25T11:05:00+00:00,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,1,,,2026-09-25T12:30:00+00:00,,,,,,All Nippon Airways,NH,ANA,4686,NH4686,ANA4686,oriental air bridge,oc,orc,86,oc86,orc86,,,,,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A3,,2026-09-25T05:45:00+00:00,2026-09-25T05:45:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,5,2026-09-25T05:55:00+00:00,,,,,,Qatar Airways,QR,QTR,1041,QR1041,QTR1041,,,,,,,,,,,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,,,2026-09-25T05:20:00+00:00,2026-09-25T05:20:00+00:00,,,,Cairo International Airport,Africa/Cairo,CAI,HECA,3,,,2026-09-25T07:55:00+00:00,,,,,,Egyptair,MS,MSR,917,MS917,MSR917,,,,,,,,,,,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A3,23.0,2026-09-25T03:10:00+00:00,2026-09-25T03:10:00+00:00,,2026-09-25T03:33:00+00:00,,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,1,,,2026-09-25T08:00:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9128,GA9128,GIA9128,etihad airways,ey,etd,125,ey125,etd125,,,,896538,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A3,23.0,2026-09-25T03:10:00+00:00,2026-09-25T03:10:00+00:00,,2026-09-25T03:33:00+00:00,,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,1,,,2026-09-25T08:00:00+00:00,,,,,,Condor,DE,CFG,5407,DE5407,CFG5407,etihad airways,ey,etd,125,ey125,etd125,,,,896538,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,,,2026-09-25T03:05:00+00:00,2026-09-25T03:05:00+00:00,,,,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,I,,,2026-09-25T09:30:00+00:00,,,,,,Etihad Airways,EY,ETD,1384,EY1384,ETD1384,air arabia abu dhabi,3l,ady,43,3l43,ady43,,,,,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,B16,10.0,2026-09-25T03:05:00+00:00,2026-09-25T03:05:00+00:00,,2026-09-25T03:15:00+00:00,,Brussels Airport,Europe/Brussels,BRU,EBBR,,,,2026-09-25T08:30:00+00:00,,,,,,Brussels Airlines,SN,BEL,4102,SN4102,BEL4102,etihad airways,ey,etd,57,ey57,etd57,,,,8964BE,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,B16,10.0,2026-09-25T03:05:00+00:00,2026-09-25T03:05:00+00:00,,2026-09-25T03:15:00+00:00,,Brussels Airport,Europe/Brussels,BRU,EBBR,,,,2026-09-25T08:30:00+00:00,,,,,,STARLUX,JX,SJX,7303,JX7303,SJX7303,etihad airways,ey,etd,57,ey57,etd57,,,,8964BE,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A5B,0.0,2026-09-25T03:00:00+00:00,2026-09-25T03:00:00+00:00,,2026-09-25T03:00:00+00:00,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,2,D3,4A,2026-09-25T09:00:00+00:00,,,,,,Etihad Airways,EY,ETD,1012,EY1012,ETD1012,akasa air,qp,akj,591,qp591,akj591,,,,8016A1,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,B26,23.0,2026-09-25T02:55:00+00:00,2026-09-25T02:55:00+00:00,,2026-09-25T03:18:00+00:00,,Cairo International Airport,Africa/Cairo,CAI,HECA,2,,,2026-09-25T06:00:00+00:00,,,,,,All Nippon Airways,NH,ANA,6364,NH6364,ANA6364,etihad airways,ey,etd,711,ey711,etd711,,,,8963F9,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,B26,23.0,2026-09-25T02:55:00+00:00,2026-09-25T02:55:00+00:00,,2026-09-25T03:18:00+00:00,,Cairo International Airport,Africa/Cairo,CAI,HECA,2,,,2026-09-25T06:00:00+00:00,,,,,,Egyptair,MS,MSR,8073,MS8073,MSR8073,etihad airways,ey,etd,711,ey711,etd711,,,,8963F9,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,B26,23.0,2026-09-25T02:55:00+00:00,2026-09-25T02:55:00+00:00,,2026-09-25T03:18:00+00:00,,Cairo International Airport,Africa/Cairo,CAI,HECA,2,,,2026-09-25T06:00:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9122,GA9122,GIA9122,etihad airways,ey,etd,711,ey711,etd711,,,,8963F9,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A1,22.0,2026-09-25T02:40:00+00:00,2026-09-25T02:40:00+00:00,,2026-09-25T03:02:00+00:00,,Ben Gurion International,Asia/Jerusalem,TLV,LLBG,3,,,2026-09-25T05:10:00+00:00,,,,,,China Eastern Airlines,MU,CES,3619,MU3619,CES3619,etihad airways,ey,etd,609,ey609,etd609,,,,89643F,,
2026-09-25,scheduled,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,A1,22.0,2026-09-25T02:40:00+00:00,2026-09-25T02:40:00+00:00,,2026-09-25T03:02:00+00:00,,Ben Gurion International,Asia/Jerusalem,TLV,LLBG,3,,,2026-09-25T05:10:00+00:00,,,,,,El Al,LY,ELY,9610,LY9610,ELY9610,etihad airways,ey,etd,609,ey609,etd609,,,,89643F,,
2026-09-25,scheduled,,Baghdad International,Asia/Baghdad,BGW,ORBI,,,,2026-09-25T05:00:00+00:00,2026-09-25T05:00:00+00:00,,,,Queen Alia International,Asia/Amman,AMM,OJAI,,,,2026-09-25T06:30:00+00:00,,,,,,Iraqi Airways,IA,IAW,1665,IA1665,IAW1665,,,,,,,,,,,,
2026-09-25,scheduled,,Baghdad International,Asia/Baghdad,BGW,ORBI,,,,2026-09-25T04:20:00+00:00,2026-09-25T04:20:00+00:00,,,,Cairo International Airport,Africa/Cairo,CAI,HECA,3,,,2026-09-25T06:45:00+00:00,,,,,,Egyptair,MS,MSR,628,MS628,MSR628,,,,,,,,,,,,
2026-09-25,scheduled,,Beirut Rafic Hariri Airport,Asia/Beirut,BEY,OLBA,,,10.0,2026-09-25T04:40:00+00:00,2026-09-25T04:40:00+00:00,,2026-09-25T04:50:00+00:00,,Cairo International Airport,Africa/Cairo,CAI,HECA,3,,,2026-09-25T06:15:00+00:00,,,,,,Egyptair,MS,MSR,714,MS714,MSR714,,,,,,,,,,010161,,
2026-09-25,scheduled,,Beirut Rafic Hariri Airport,Asia/Beirut,BEY,OLBA,,,10.0,2026-09-25T04:40:00+00:00,2026-09-25T04:40:00+00:00,,2026-09-25T04:50:00+00:00,,Cairo International Airport,Africa/Cairo,CAI,HECA,3,,,2026-09-25T06:15:00+00:00,,,,,,Air Canada,AC,ACA,2874,AC2874,ACA2874,egyptair,ms,msr,714,ms714,msr714,,,,010161,,
2026-09-25,scheduled,,Taupo,Pacific/Auckland,TUO,NZAP,,,0.0,2026-09-25T10:05:00+00:00,2026-09-25T10:05:00+00:00,,2026-09-25T10:05:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,42,3,2026-09-25T11:00:00+00:00,,,,,,Singapore Airlines,SQ,SIA,4433,SQ4433,SIA4433,air new zealand,nz,anz,5092,nz5092,anz5092,,,,C81C9F,,
2026-09-25,scheduled,,Almaty,Asia/Almaty,ALA,UAAA,1,,,2026-09-25T06:45:00+00:00,2026-09-25T06:45:00+00:00,,,,,,NQZ,UACC,2,,,2026-09-25T08:30:00+00:00,,,,,,FlyArystan,FS,AYN,7051,FS7051,AYN7051,,,,,,,,,,,,
